,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
0,Robin Uthappa,0,2,0,,inf,0.0,0.0,100.0
1,Lance Hamilton,0,4,0,,inf,25.0,0.0,3.57
2,Ashwell Prince,0,5,0,,inf,0.0,0.0,41.67
3,Chetan Sakariya,0,2,0,,inf,100.0,0.0,4.0
4,Rahul Chahar,0,1,0,,inf,0.0,0.0,1.61
5,Shivnarine Chanderpaul,0,2,0,,inf,0.0,0.0,7.69
6,Ben Stevens,0,1,0,,inf,0.0,0.0,5.56
7,Surya Tamang,0,1,0,,inf,0.0,0.0,1.11
8,Rijan Dhakal,0,3,0,,inf,0.0,0.0,3.57
9,Joe Mennie,1,9,1,1.0,9.0,11.11,0.67,7.5
10,Xavier Marshall,1,6,0,inf,inf,0.0,1.0,66.67
11,Mthokozisi Shezi,8,36,1,8.0,36.0,30.56,1.33,100.0
12,Bjorn Fortuin,3,13,0,inf,inf,15.38,1.38,6.99
13,Graeme McCarter,6,23,0,inf,inf,0.0,1.57,47.92
14,T Natarajan,6,22,1,6.0,22.0,36.36,1.64,18.18
15,Pankaj Singh,5,18,0,inf,inf,33.33,1.67,41.86
16,Emmanuel Bundi,18,55,0,inf,inf,0.0,1.96,91.67
17,Jayant Yadav,9,27,1,9.0,27.0,22.22,2.0,31.76
18,Chaminda Bandara,2,6,0,inf,inf,16.67,2.0,10.0
19,Yasir Ali,2,6,0,inf,inf,0.0,2.0,100.0
20,Rinku Singh,2,6,1,2.0,6.0,16.67,2.0,100.0
21,Francis Otieno,2,6,0,inf,inf,0.0,2.0,100.0
22,Vishnu Sukumaran,4,12,0,inf,inf,0.0,2.0,100.0
23,Tyson Gordon,1,3,0,inf,inf,33.33,2.0,20.0
24,Shreyas Iyer,2,6,0,inf,inf,33.33,2.0,16.22
25,Runako Morton,2,6,0,inf,inf,16.67,2.0,100.0
26,Shahid Ahmadzai,21,62,1,21.0,62.0,0.0,2.03,36.9
27,Zahid Shah,10,29,2,5.0,14.5,13.79,2.07,24.17
28,Wes Agar,16,46,0,inf,inf,32.61,2.09,67.65
29,Dirk Nannes,13,36,0,inf,inf,0.0,2.17,85.71
30,Xavier Bartlett,36,90,8,4.5,11.25,27.78,2.4,92.78
31,Brad Currie,48,115,3,16.0,38.33,29.57,2.5,76.67
32,Najaf Shah,3,7,0,inf,inf,0.0,2.57,11.48
33,Shabbir Ahmed,51,118,3,17.0,39.33,21.19,2.59,72.84
34,Ainsley Ndlovu,22,50,0,inf,inf,0.0,2.64,49.02
35,George O'Brien,26,58,3,8.67,19.33,5.17,2.69,64.44
36,Nandre Burger,35,77,2,17.5,38.5,20.78,2.73,52.03
37,Paul Harris,83,181,3,27.67,60.33,19.34,2.75,100.0
38,Shaun Pollock,1541,3321,74,20.82,44.88,17.77,2.78,79.26
39,Christi Viljoen,14,30,2,7.0,15.0,0.0,2.8,100.0
40,Henk-Jan Mol,23,49,2,11.5,24.5,0.0,2.82,87.5
41,Mluleki Nkala,9,19,0,inf,inf,10.53,2.84,44.19
42,Jasper Davidson,23,48,4,5.75,12.0,0.0,2.88,100.0
43,Malinda Pushpakumara,13,27,0,inf,inf,22.22,2.89,23.68
44,Arshdeep Singh,73,151,6,12.17,25.17,41.06,2.9,62.4
45,Tushar Imran,29,60,1,29.0,60.0,13.33,2.9,55.56
46,Dwayne Leverock,234,479,10,23.4,47.9,0.21,2.93,53.88
47,Gudakesh Motie,116,237,9,12.89,26.33,22.36,2.94,35.85
48,Rassie van der Dussen,3,6,1,3.0,6.0,16.67,3.0,100.0
49,Oronde Bascome,3,6,0,inf,inf,0.0,3.0,100.0
50,Ewen Thompson,1,2,0,inf,inf,50.0,3.0,8.33
51,Kashyap Prajapati,1,2,0,inf,inf,0.0,3.0,100.0
52,Mark Cosgrove,12,24,0,inf,inf,8.33,3.0,80.0
53,Sushant Modani,3,6,0,inf,inf,0.0,3.0,50.0
54,Bernard Scholtz,1014,2011,53,19.13,37.94,0.6,3.03,84.85
55,Hasti Gul,44,86,2,22.0,43.0,0.0,3.07,74.14
56,Scott Currie,40,78,2,20.0,39.0,14.1,3.08,64.46
57,Ishwarjot Sohi,17,33,2,8.5,16.5,0.0,3.09,36.26
58,Tanwir Afzal,293,569,13,22.54,43.77,0.35,3.09,66.86
59,Navdeep Saini,48,93,2,24.0,46.5,31.18,3.1,21.93
60,Brandon McMullen,293,563,23,12.74,24.48,8.35,3.12,75.77
61,David Hemp,12,23,0,inf,inf,0.0,3.13,37.7
62,Abdullah Mazari,47,90,2,23.5,45.0,0.0,3.13,100.0
63,Aaron Hardie,22,42,0,inf,inf,21.43,3.14,38.89
64,Anshy Rath,118,225,7,16.86,32.14,0.0,3.15,66.57
65,Sunzamul Islam,79,150,5,15.8,30.0,14.67,3.16,100.0
66,Billy Stelling,155,294,8,19.38,36.75,3.4,3.16,90.74
67,Riley Meredith,9,17,0,inf,inf,23.53,3.18,54.84
68,Gajanand Singh,45,84,6,7.5,14.0,9.52,3.21,74.34
69,Craig Wright,117,219,4,29.25,54.75,4.11,3.21,65.18
70,Timm van der Gugten,146,272,10,14.6,27.2,2.94,3.22,83.95
71,Arshad Khan,129,240,5,25.8,48.0,14.58,3.22,53.22
72,Sushan Bhari,174,323,14,12.43,23.07,0.0,3.23,76.54
73,Lalit Rajbanshi,487,898,27,18.04,33.26,1.45,3.25,72.59
74,Omari Banks,65,120,3,21.67,40.0,13.33,3.25,100.0
75,Damodar Daesrath,13,24,1,13.0,24.0,0.0,3.25,32.88
76,Julius Sumerauer,78,144,4,19.5,36.0,17.36,3.25,48.65
77,Josh Clarkson,19,35,0,inf,inf,17.14,3.26,48.61
78,Matthew Forde,30,55,3,10.0,18.33,20.0,3.27,39.86
79,Daniel Worrall,29,53,1,29.0,53.0,0.0,3.28,33.54
80,Dominic Drakes,46,84,1,46.0,84.0,20.24,3.29,73.68
81,Fakhar Zaman,23,42,0,inf,inf,16.67,3.29,31.11
82,Darius D'Silva,89,162,6,14.83,27.0,0.0,3.3,86.63
83,Naseem Shah,183,333,16,11.44,20.81,32.43,3.3,47.44
84,Fred Klaassen,410,744,21,19.52,35.43,8.47,3.31,70.59
85,Chris Amini,52,94,3,17.33,31.33,0.0,3.32,87.04
86,Adeel Raja,190,342,7,27.14,48.86,0.58,3.33,71.25
87,Kamal Airee,30,54,0,inf,inf,0.0,3.33,47.37
88,Nangeyalia Kharote,30,54,4,7.5,13.5,22.22,3.33,100.0
89,Ryan Steede,38,68,2,19.0,34.0,4.41,3.35,78.16
90,Glenn McGrath,1315,2356,75,17.53,31.41,20.33,3.35,83.25
91,Kyle Jamieson,191,341,9,21.22,37.89,26.1,3.36,56.09
92,Nadeem Ahmed,483,861,28,17.25,30.75,0.35,3.37,67.64
93,Doug Bollinger,623,1108,41,15.2,27.02,28.43,3.37,56.42
94,Saurabh Netravalkar,1108,1973,58,19.1,34.02,4.66,3.37,79.91
95,Sudeep Tyagi,63,112,3,21.0,37.33,30.36,3.38,67.47
96,Chaminda Vaas,1438,2554,55,26.15,46.44,17.82,3.38,70.94
97,Tim Gruijters,58,102,2,29.0,51.0,0.0,3.41,85.0
98,Paul Hoffmann,141,248,2,70.5,124.0,4.84,3.41,71.26
99,Mohammad Asif,712,1248,30,23.73,41.6,23.24,3.42,63.61
100,Dilshan Madushanka,241,423,20,12.05,21.15,27.9,3.42,40.4
101,Rajesh Bhudia,63,110,1,63.0,110.0,0.0,3.44,60.77
102,Nestor Dhamba,152,265,8,19.0,33.12,3.77,3.44,76.15
103,Manzarul Islam,152,265,9,16.89,29.44,12.08,3.44,62.65
104,Kashif Daud,281,490,10,28.1,49.0,2.65,3.44,81.13
105,Pedro Collins,116,202,4,29.0,50.5,22.77,3.45,57.22
106,Shane Bond,1273,2212,77,16.53,28.73,26.72,3.45,74.81
107,Kishore Mahato,15,26,1,15.0,26.0,23.08,3.46,33.33
108,Con de Lange,224,389,5,44.8,77.8,0.0,3.46,75.1
109,Jack Brassell,49,85,3,16.33,28.33,0.0,3.46,64.39
110,Syed Rasel,861,1494,28,30.75,53.36,15.39,3.46,62.25
111,Corey Collymore,511,884,15,34.07,58.93,17.42,3.47,65.77
112,Oliver Davidson,22,38,0,inf,inf,0.0,3.47,70.37
113,Tim Murtagh,1173,2025,59,19.88,34.32,4.54,3.48,67.23
114,Jasprit Bumrah,1460,2508,87,16.78,28.83,30.86,3.49,54.53
115,Ian Bradshaw,949,1632,43,22.07,37.95,22.55,3.49,68.06
116,Zahid Hussain,39,67,1,39.0,67.0,0.0,3.49,55.83
117,Sunil Narine,1156,1989,61,18.95,32.61,24.53,3.49,56.08
118,Gordon Drummond,476,817,17,28.0,48.06,0.0,3.5,65.52
119,Pradeep Jeyapragash,21,36,1,21.0,36.0,30.56,3.5,100.0
120,Vernon Philander,469,803,24,19.54,33.46,24.16,3.5,62.3
121,Mohammed Qasim,70,120,2,35.0,60.0,0.0,3.5,100.0
122,Sharad Vesawkar,21,36,2,10.5,18.0,0.0,3.5,100.0
123,Shermon Lewis,7,12,0,inf,inf,33.33,3.5,20.34
124,Krunal Pandya,52,89,1,52.0,89.0,8.99,3.51,39.04
125,Kevin Hurdle,147,251,9,16.33,27.89,3.98,3.51,53.4
126,Edgar Schiferli,250,427,17,14.71,25.12,0.0,3.51,79.81
127,Umar Bhatti,539,922,17,31.71,54.24,2.93,3.51,73.52
128,Harsh Thaker,297,508,11,27.0,46.18,6.1,3.51,85.38
129,Nigel Jones,220,376,9,24.44,41.78,0.0,3.51,96.66
130,Mark Watt,1468,2502,68,21.59,36.79,2.88,3.52,74.2
131,Tanzim Hasan Sakib,68,116,3,22.67,38.67,27.59,3.52,35.05
132,Amir Hamza,820,1394,39,21.03,35.74,6.31,3.53,89.47
133,Victor Nyauchi,129,219,3,43.0,73.0,18.72,3.53,54.34
134,Simi Singh,554,942,25,22.16,37.68,9.02,3.53,62.01
135,Ian Blackwell,198,337,7,28.29,48.14,16.91,3.53,57.8
136,Deighton Butler,124,210,3,41.33,70.0,16.19,3.54,83.33
137,Ray Price,1445,2444,51,28.33,47.92,8.76,3.55,62.39
138,Ammar Khalid,97,164,5,19.4,32.8,21.95,3.55,82.41
139,Adam Bacher,64,108,3,21.33,36.0,7.41,3.56,100.0
140,Khaliq Dad,117,197,7,16.71,28.14,0.0,3.56,76.65
141,Dan Cullen,98,165,2,49.0,82.5,12.12,3.56,77.1
142,Bhuvneshwar Kumar,2062,3478,76,27.13,45.76,23.92,3.56,59.41
143,Aayan Afzal Khan,583,982,22,26.5,44.64,8.66,3.56,64.99
144,Temba Bavuma,22,37,0,inf,inf,10.81,3.57,100.0
145,Natsai M'shangwe,134,225,1,134.0,225.0,8.44,3.57,66.96
146,Jason Behrendorff,212,356,11,19.27,32.36,26.12,3.57,55.11
147,Kabua Morea,330,555,15,22.0,37.0,1.08,3.57,74.9
148,Mohammad Talha,25,42,2,12.5,21.0,21.43,3.57,34.15
149,Jon Lewis,334,561,13,25.69,43.15,22.46,3.57,76.53
150,Ed Rainsford,617,1038,28,22.04,37.07,16.76,3.57,74.41
151,Ziaur Rahman,132,222,9,14.67,24.67,15.32,3.57,56.78
152,Nasir Aziz,59,99,1,59.0,99.0,0.0,3.58,45.83
153,Mujeeb Ur Rahman,1720,2879,81,21.23,35.54,13.65,3.58,72.59
154,Anthony Martin,216,362,9,24.0,40.22,14.36,3.58,81.53
155,John Blain,282,472,13,21.69,36.31,1.48,3.58,68.6
156,Dipendra Singh Airee,896,1500,31,28.9,48.39,3.47,3.58,77.0
157,Mohammad Aadil Alam,137,229,3,45.67,76.33,0.0,3.59,85.77
158,James Ngoche,449,750,15,29.93,50.0,2.13,3.59,86.11
159,Umar Amin,18,30,0,inf,inf,0.0,3.6,71.43
160,Josh Hazlewood,1437,2394,68,21.13,35.21,25.06,3.6,52.98
161,Toby Roland-Jones,6,10,0,inf,inf,20.0,3.6,23.81
162,Daniel Vettori,3187,5299,118,27.01,44.91,14.66,3.61,69.27
163,Sewnarine Chattergoon,47,78,0,inf,inf,5.13,3.62,98.73
164,Kagiso Rabada,1620,2687,86,18.84,31.24,27.73,3.62,51.6
165,Sanchit Sharma,126,209,3,42.0,69.67,12.44,3.62,61.11
166,Thomas Odoyo,850,1404,41,20.73,34.24,2.85,3.63,70.13
167,Aryan Dutt,560,922,23,24.35,40.09,11.71,3.64,52.09
168,Daryn Dupavillon,28,46,1,28.0,46.0,23.91,3.65,69.7
169,Mohammad Rafique,987,1623,33,29.91,49.18,17.81,3.65,67.85
170,Tim de Leede,156,256,8,19.5,32.0,1.17,3.66,74.85
171,Trent Johnston,1272,2087,47,27.06,44.4,3.79,3.66,77.55
172,Mohammad Hafeez,3061,5013,85,36.01,58.98,12.83,3.66,72.21
173,Mahela Jayawardene,11,18,1,11.0,18.0,16.67,3.67,40.91
174,Dilhara Lokuhettige,151,247,4,37.75,61.75,17.81,3.67,73.29
175,Hasantha Fernando,41,67,1,41.0,67.0,28.36,3.67,100.0
176,Shaheen Shah Afridi,781,1276,41,19.05,31.12,25.0,3.67,47.24
177,Basir Ahamad,56,91,2,28.0,45.5,0.0,3.69,81.98
178,Dave Mohammed,115,187,6,19.17,31.17,15.51,3.69,53.28
179,Faheem Ashraf,409,664,16,25.56,41.5,15.96,3.7,47.39
180,Eion Katchay,50,81,1,50.0,81.0,0.0,3.7,69.83
